גולן,3.78,2.33,8.82,40.8,0.50%,כן
צפת,4.87,2.9,14.13,109.2,1.90%,כן
עכו,3.6,4,14.41,579.4,9.40%,כן
באר שבע,4.11,3.81,15.68,585.7,16.90%,כן
כנרת,4.14,4,16.57,100.5,18.20%,כן
יזרעאל,3.96,4.74,18.79,466.3,24.20%,כן
יהודה ושומרון,4.13,5.57,22.99,352.4,28.40%,לא
חדרה,4.4,5.83,25.65,380.9,33.30%,לא
ירושלים,4.1,6.67,27.3,968.9,45.70%,לא
אשקלון,4.93,5.82,28.67,486.5,52.00%,לא
חיפה,6.17,5.5,33.94,544.5,59.00%,לא
השרון,5.45,6.86,37.36,419.9,64.40%,לא
רחובות,6.07,7.21,43.81,526.6,71.20%,לא
רמלה,5.87,7.56,44.38,316.5,75.20%,לא
פתח תקווה,6.55,7.87,51.49,631.9,83.40%,לא
תל אביב,6.47,9,58.24,1294.4,100%,לא
